Domain,Area,Element,Item,Year,Value
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1980","572.727899"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1981","710.252373"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1982","712.513906"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1983","629.529867"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1984","632.00923"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1985","616.825582"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1986","554.030537"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1987","515.252015"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1988","591.22331"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1989","663.307369"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1990","734.870788"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1991","808.917957"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1992","863.236715"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1993","964.419086"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1994","1062.576416"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1995","1195.559301"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1996","1324.891933"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1997","1239.081737"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1998","540.456942"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1999","785.061266"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2000","830.689105"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2001","796.68957"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2002","958.442758"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2003","1134.62401"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2004","1224.713478"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2005","1345.055304"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2006","1692.703544"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2007","1980.393955"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2008","2307.106731"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2009","2407.609506"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2010","3122.362804"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2011","3643.047177"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2012","3694.359234"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2013","3623.927341"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2014","3491.637492"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2015","3331.695119"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2016","3562.816401"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2017","3837.578117"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2018","3893.859673"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2019","4135.201528"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","2020","3869.58852"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1970","63.935415"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1971","67.979257"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1972","71.065586"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1973","71.889664"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1974","75.638172"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1975","79.980048"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1976","91.208221"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1977","106.433243"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1978","125.713173"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1979","134.481046"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1980","44.132307"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1981","33.943703"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1982","38.552636"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1983","56.557759"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1984","85.169301"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1985","78.793564"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1986","81.215537"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1987","83.458586"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1988","88.831042"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1989","94.564821"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1990","95.18831"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1991","110.062381"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1992","139.200243"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1993","182.30843"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1994","221.05786"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1995","276.813915"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1996","324.147685"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1997","348.016399"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1998","348.324326"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","1999","362.920376"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2000","390.094697"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2001","404.807867"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2002","430.052867"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2003","480.579798"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2004","595.866444"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2005","687.479737"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2006","784.372422"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2007","906.284198"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2008","1149.424642"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2009","1217.268553"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2010","1317.890709"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2011","1525.119094"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2012","1735.152116"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2013","1886.690194"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2014","2030.278491"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2015","2085.101638"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2016","2192.174778"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2017","2365.521494"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2018","2566.447346"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2019","2715.275874"
"Macro Indicators","Viet Nam","Value US$ per capita","Gross Domestic Product","2020","2785.724225"
